:START_ID,has,:END_ID,:TYPE
c10003,has,m244,HAS
c10003,has,m245,HAS
c10003,has,m246,HAS
c10003,has,m247,HAS
c10003,has,m248,HAS
c10003,has,m249,HAS
c10003,has,m250,HAS
c10003,has,m251,HAS
c10003,has,m252,HAS
c10003,has,m253,HAS
c10003,has,m254,HAS
c10003,has,m255,HAS
c10003,has,m256,HAS
c10003,has,m257,HAS
c10003,has,m258,HAS
c10003,has,m259,HAS
c10003,has,m260,HAS
c10003,has,m261,HAS
c10003,has,m262,HAS
c10003,has,m263,HAS
c10003,has,m264,HAS
c10003,has,m265,HAS
c10003,has,m266,HAS
c10003,has,m267,HAS
c10003,has,m268,HAS
c10003,has,m269,HAS
c10003,has,m270,HAS
c10003,has,m271,HAS
c10003,has,m272,HAS
c10003,has,m273,HAS
c10003,has,m274,HAS
c10003,has,m275,HAS
c10003,has,m276,HAS
c10003,has,m277,HAS
c10003,has,m278,HAS
c10003,has,m279,HAS
c10003,has,m280,HAS
c10003,has,m281,HAS
c10003,has,m282,HAS
c10003,has,m283,HAS
c10003,has,m284,HAS
c10003,has,m285,HAS
c10003,has,m286,HAS
c10003,has,m287,HAS
c10003,has,m288,HAS
c10003,has,m289,HAS
c10003,has,m290,HAS
c10003,has,m291,HAS
c10003,has,m292,HAS
c10003,has,m293,HAS
c10003,has,m294,HAS
c10003,has,m295,HAS
c10003,has,m296,HAS
c10003,has,m297,HAS
c10003,has,m298,HAS
c10003,has,m299,HAS
c10003,has,m300,HAS
c10003,has,m301,HAS
c10003,has,m302,HAS
c10001,has,m303,HAS
c10001,has,m304,HAS
c10001,has,m305,HAS
c10001,has,m306,HAS
c10001,has,m307,HAS
c10001,has,m308,HAS
c10001,has,m309,HAS
c10001,has,m310,HAS
c10001,has,m311,HAS
c10001,has,m312,HAS
c10001,has,m313,HAS
c10001,has,m314,HAS
c10001,has,m315,HAS
c10001,has,m316,HAS
c10001,has,m317,HAS
c10001,has,m318,HAS
c10001,has,m319,HAS
c10001,has,m320,HAS
c10001,has,m321,HAS
c10001,has,m322,HAS
c10001,has,m323,HAS
c10001,has,m324,HAS
c10001,has,m325,HAS
c10001,has,m326,HAS
c10001,has,m327,HAS
c10001,has,m328,HAS
c10001,has,m329,HAS
c10001,has,m330,HAS
c10001,has,m331,HAS
c10001,has,m332,HAS
c10001,has,m333,HAS
c10001,has,m334,HAS
c10001,has,m335,HAS
c10001,has,m336,HAS
c10001,has,m337,HAS
c10001,has,m338,HAS
c10001,has,m339,HAS
c10001,has,m340,HAS
c10001,has,m341,HAS
c10001,has,m342,HAS
c10001,has,m343,HAS
c10001,has,m344,HAS
c10001,has,m345,HAS
c10001,has,m346,HAS
c10001,has,m347,HAS
c10001,has,m348,HAS
c10001,has,m349,HAS
c10001,has,m350,HAS
c10001,has,m351,HAS
c10001,has,m352,HAS
c10001,has,m353,HAS
c10001,has,m354,HAS
c10001,has,m355,HAS
c10001,has,m356,HAS
c10001,has,m357,HAS
c10001,has,m358,HAS
c10001,has,m359,HAS
c10001,has,m360,HAS
c10001,has,m361,HAS
c10001,has,m362,HAS
c10001,has,m363,HAS
c10001,has,m364,HAS
c10001,has,m365,HAS
c10001,has,m366,HAS
c10001,has,m367,HAS
c10001,has,m368,HAS
c10001,has,m369,HAS
c10001,has,m370,HAS
c10001,has,m371,HAS
c10001,has,m372,HAS
c10001,has,m373,HAS
c10001,has,m374,HAS
c10001,has,m375,HAS
c10001,has,m376,HAS
c10001,has,m377,HAS
c10001,has,m378,HAS
c10001,has,m379,HAS
c10001,has,m380,HAS
c10001,has,m381,HAS
c10001,has,m382,HAS
c10001,has,m383,HAS
c10001,has,m384,HAS
c10001,has,m385,HAS
c10001,has,m386,HAS
c10001,has,m387,HAS
c10001,has,m388,HAS
c10001,has,m389,HAS
c10001,has,m390,HAS
c10001,has,m391,HAS
c10001,has,m392,HAS
c10001,has,m393,HAS
c10001,has,m394,HAS
c10001,has,m395,HAS
c10001,has,m396,HAS
c10001,has,m397,HAS
c10001,has,m398,HAS
c10001,has,m399,HAS
c10001,has,m400,HAS
c10001,has,m401,HAS
c10001,has,m402,HAS
c10001,has,m403,HAS
c10001,has,m404,HAS
c10001,has,m405,HAS
c10001,has,m406,HAS
c10001,has,m407,HAS
c10001,has,m408,HAS
c10001,has,m409,HAS
c10001,has,m410,HAS
c10001,has,m411,HAS
c10001,has,m412,HAS
c10001,has,m413,HAS
c10001,has,m414,HAS
c10001,has,m415,HAS
c10001,has,m416,HAS
c10001,has,m417,HAS
c10001,has,m418,HAS
c10001,has,m419,HAS
c10001,has,m420,HAS
c10001,has,m421,HAS
c10001,has,m422,HAS
c10001,has,m423,HAS
c10001,has,m424,HAS
c10001,has,m425,HAS
c10001,has,m426,HAS
c10001,has,m427,HAS
c10001,has,m428,HAS
c10001,has,m429,HAS
c10001,has,m430,HAS
c10001,has,m431,HAS
c10001,has,m432,HAS
c10001,has,m433,HAS
c10001,has,m434,HAS
c10001,has,m435,HAS
c10001,has,m436,HAS
c10001,has,m437,HAS
c10001,has,m438,HAS
c10001,has,m439,HAS
c10001,has,m440,HAS
c10001,has,m441,HAS
c10001,has,m442,HAS
c10001,has,m443,HAS
c10001,has,m444,HAS
c10001,has,m445,HAS
c10001,has,m446,HAS
c10001,has,m447,HAS
c10001,has,m448,HAS
c10001,has,m449,HAS
c10001,has,m450,HAS
c10001,has,m451,HAS
c10001,has,m452,HAS
c10001,has,m453,HAS
c10001,has,m454,HAS
c10001,has,m455,HAS
