college:ID,collegeName,985,211,top
c10001,北京大学,1,1,1
c10002,中国人民大学,1,1,1
c10003,清华大学,1,1,1
c10004,北京交通大学,1,1,0
c10006,北京航空航天大学,1,1,1
c10007,北京理工大学,1,1,1
c10008,北京科技大学,1,1,1
c10009,北方工业大学,0,0,0
c10010,北京化工大学,1,1,1
c10011,北京工商大学,0,0,0
c10013,北京邮电大学,0,1,1
c10022,北京林业大学,0,1,1
c10027,北京师范大学,1,1,1
c10028,首都师范大学,0,0,1
c10030,北京外国语大学,0,1,1
c10033,中国传媒大学,0,1,1
c10043,北京体育大学,0,1,1
c10054,华北电力大学,0,1,1
c10112,太原理工大学,0,1,1
c10126,内蒙古大学,0,1,1
c10140,辽宁大学,0,1,1
c10141,大连理工大学,1,1,1
c10151,大连海事大学,0,1,1
c10184,延边大学,0,1,1
c10216,燕山大学,0,0,0
c10224,东北农业大学,0,1,1
c10225,东北林业大学,0,1,1
c10246,复旦大学,1,1,1
c10247,同济大学,1,1,1
c10248,上海交通大学,1,1,1
c10251,华东理工大学,0,1,1
c10255,东华大学,0,1,1
c10269,华东师范大学,1,1,1
c10270,上海师范大学,0,0,0
c10271,上海外国语大学,0,1,1
c10276,华东政法大学,0,0,0
c10280,上海大学,0,1,1
c10284,南京大学,1,1,1
c10286,东南大学,1,1,1
c10287,南京航空航天大学,0,1,1
c10291,南京工业大学,0,0,0
c10294,河海大学,0,1,1
c10295,江南大学,0,1,1
c10304,南通大学,0,0,0
c10319,南京师范大学,0,1,1
c10327,南京财经大学,0,0,0
c10336,杭州电子科技大学,0,0,0
c10338,浙江理工大学,0,0,0
c10357,安徽大学,0,1,1
c10359,合肥工业大学,0,1,1
c10384,厦门大学,1,1,1
c10385,华侨大学,0,0,0
c10386,福州大学,0,1,1
c10389,福建农林大学,0,0,0
c10403,南昌大学,0,1,1
c10459,郑州大学,0,1,1
c10486,武汉大学,1,1,1
c10487,华中科技大学,1,1,1
c10488,武汉科技大学,0,0,0
c10491,中国地质大学（武汉）,0,1,1
c10504,华中农业大学,0,1,1
c10511,华中师范大学,0,1,1
c10512,湖北大学,0,0,0
c10532,湖南大学,1,1,1
c10533,中南大学,1,1,1
c10542,湖南师范大学,0,1,1
c10561,华南理工大学,1,1,1
c10593,广西大学,0,1,1
c10610,四川大学,1,1,1
c10626,四川农业大学,0,1,1
c10635,西南大学,0,1,1
c10651,西南财经大学,0,1,1
c10657,贵州大学,0,1,1
c10697,西北大学,0,1,1
c10701,西安电子科技大学,0,1,1
c10710,长安大学,0,1,1
c10730,兰州大学,1,1,1
c10755,新疆大学,0,1,1
c10759,石河子大学,0,1,1
c11065,青岛大学,0,0,0
c11078,广州大学,0,0,0
c11413,中国矿业大学（北京）,0,1,1
c11415,中国地质大学（北京）,0,1,1
c11417,北京联合大学,0,0,0
c20000,复旦大学医学部,1,1,1
c106111,重庆大学,1,1,1
c10358,中国科学技术大学,1,1,1
c10337,浙江工业大学,0,0,0
